,coords,weight,point_type
324,"(47.0234573, -91.6736905)",20,Child Care
325,"(47.8024741, -96.6097939)",43,Child Care
326,"(43.6478006, -93.3686555)",44,Child Care
327,"(46.7978107, -92.0894214)",172,Child Care
328,"(44.9850199, -93.2290513)",190,Child Care
329,"(45.05174760000001, -92.8188919)",20,Child Care
330,"(44.0770259, -93.5132575)",17,Child Care
331,"(44.9758202, -93.5214659)",146,Child Care
332,"(46.7115331, -92.464009)",56,Child Care
333,"(43.8558271, -92.4853783)",40,Child Care
334,"(44.0896704, -93.2404896)",120,Child Care
335,"(44.9549353, -93.3921853)",100,Child Care
336,"(44.8879295, -93.3103227)",163,Child Care
337,"(44.9606806, -93.1384155)",97,Child Care
338,"(44.05541880000001, -91.6720834)",16,Child Care
339,"(43.9851242, -95.7533886)",76,Child Care
340,"(44.9237984, -92.9564674)",116,Child Care
341,"(44.9191638, -92.955218)",106,Child Care
342,"(44.8807172, -93.4169908)",158,Child Care
343,"(44.9387046, -92.9797628)",76,Child Care
344,"(47.229396, -93.5217074)",90,Child Care
345,"(45.8964736, -95.40577)",136,Child Care
346,"(44.9725663, -93.2766159)",149,Child Care
347,"(45.8887224, -95.3705715)",40,Child Care
348,"(45.1934124, -93.3861389)",99,Child Care
349,"(46.3437008, -94.2027859)",58,Child Care
350,"(44.7483082, -93.321465)",123,Child Care
351,"(43.6688006, -92.9765402)",93,Child Care
352,"(44.0916553, -93.2385259)",260,Child Care
353,"(43.6218801, -95.5942651)",55,Child Care
354,"(48.1255157, -96.1602929)",45,Child Care
355,"(43.6555857, -93.3898868)",48,Child Care
356,"(45.0306205, -93.4571458)",108,Child Care
357,"(44.85146049999999, -93.4273186)",101,Child Care
358,"(44.9636771, -93.2572265)",40,Child Care
359,"(44.9829849, -93.2377611)",143,Child Care
360,"(44.830851, -93.287476)",45,Child Care
361,"(44.9853724, -93.4115919)",175,Child Care
362,"(44.8773952, -94.3876484)",40,Child Care
363,"(44.8683416, -93.4242436)",80,Child Care
364,"(44.8009648, -93.2309633)",98,Child Care
365,"(46.86083439999999, -96.7749676)",64,Child Care
366,"(45.1905295, -93.3106913)",107,Child Care
367,"(44.9349272, -93.6669688)",55,Child Care
368,"(45.1947078, -93.6765166)",20,Child Care
369,"(45.57393649999999, -94.1834374)",59,Child Care
370,"(44.99448779999999, -92.9890499)",74,Child Care
371,"(46.7260082, -95.7032487)",18,Child Care
372,"(44.0231352, -92.4497036)",192,Child Care
373,"(44.9410178, -93.1658081)",54,Child Care
374,"(47.4987983, -92.8740997)",20,Child Care
375,"(44.9874071, -93.3761696)",34,Child Care
376,"(44.9469075, -93.096875)",94,Child Care
377,"(45.1673721, -93.8528931)",372,Child Care
378,"(45.1670268, -93.210495)",172,Child Care
379,"(43.7617598, -92.0011916)",20,Child Care
380,"(45.138462, -93.1629174)",76,Child Care
381,"(43.9940025, -96.3117771)",20,Child Care
382,"(44.1011582, -93.2119849)",63,Child Care
383,"(46.35202493372234, -94.1738170157572)",92,Child Care
384,"(44.873321, -93.2854792)",60,Child Care
385,"(44.9858607, -93.2970314)",288,Child Care
386,"(45.2519234, -92.8068329)",20,Child Care
387,"(44.9260309, -93.2710938)",549,Child Care
388,"(44.7346324, -93.3684037)",86,Child Care
389,"(45.2971775, -93.8030087)",91,Child Care
390,"(44.9587856, -92.953744)",130,Child Care
391,"(45.1899929, -93.3743027)",24,Child Care
392,"(44.9092752, -93.53332)",80,Child Care
393,"(44.1652333, -93.8876062)",34,Child Care
394,"(44.5665235, -92.5250157)",20,Child Care
395,"(43.9414952, -94.9258432)",40,Child Care
396,"(45.0693008, -92.9955024)",22,Child Care
397,"(45.45730440000001, -93.458065)",20,Child Care
398,"(44.0007429, -92.4888186)",121,Child Care
399,"(44.3017688, -92.6849918)",20,Child Care
400,"(45.030704, -92.831333)",74,Child Care
401,"(44.9522345, -93.2645706)",96,Child Care
402,"(44.9737716, -93.0339429)",80,Child Care
403,"(47.0985046, -94.5785588)",20,Child Care
404,"(44.8573345, -93.3522342)",128,Child Care
405,"(46.8147076, -92.0936026)",16,Child Care
406,"(44.9311927, -92.9040848)",172,Child Care
407,"(44.8492042, -92.9203458)",87,Child Care
408,"(44.80408389999999, -93.1664432)",40,Child Care
409,"(45.5798572, -94.1735639)",99,Child Care
410,"(45.02746370000001, -93.3795741)",50,Child Care
411,"(45.87313020000001, -93.2908339)",20,Child Care
412,"(45.2806705, -93.563089)",30,Child Care
413,"(44.6677919, -93.6251857)",40,Child Care
414,"(45.9730856, -94.3577818)",10,Child Care
415,"(44.8146057, -93.2752704)",115,Child Care
416,"(45.866908, -95.1522522)",19,Child Care
417,"(44.6555011, -93.2497592)",172,Child Care
418,"(44.8887173, -93.3082845)",89,Child Care
419,"(45.1094209, -93.3558804)",144,Child Care
420,"(45.012389, -93.1786462)",110,Child Care
421,"(44.166268, -92.1703916)",63,Child Care
422,"(44.7875016, -92.8818341)",157,Child Care
423,"(44.8875173, -93.3182356)",68,Child Care
424,"(45.1499548, -93.1516753)",108,Child Care
425,"(44.67298359999999, -92.9665548)",42,Child Care
426,"(46.71905539999999, -92.4587502)",19,Child Care
427,"(44.07812060000001, -93.5114409)",44,Child Care
428,"(45.2208854, -93.3441068)",60,Child Care
429,"(44.7651601, -93.185675)",50,Child Care
430,"(45.03060019999999, -93.1691539)",42,Child Care
431,"(45.0436529, -93.771132)",20,Child Care
432,"(46.8458043, -96.748862)",40,Child Care
433,"(47.51809799999999, -92.596053)",20,Child Care
434,"(43.8295731, -91.3131039)",60,Child Care
435,"(44.8689805, -93.1333704)",86,Child Care
436,"(44.5620576, -92.580294)",123,Child Care
437,"(44.1757238, -94.0096099)",119,Child Care
438,"(46.808181, -92.1028304)",115,Child Care
439,"(44.9801918, -93.4300214)",54,Child Care
440,"(45.1314979, -93.2740356)",77,Child Care
441,"(44.8286696, -93.1715729)",132,Child Care
442,"(45.0318456, -93.3448562)",29,Child Care
443,"(44.9260309, -93.2710938)",59,Child Care
444,"(45.1575459, -93.3957465)",132,Child Care
445,"(45.1801806, -93.3964819)",85,Child Care
446,"(45.1657962, -93.2669253)",88,Child Care
447,"(44.1035382, -93.2144185)",52,Child Care
448,"(44.7460967, -93.4310245)",172,Child Care
449,"(44.1513244, -94.0005834)",90,Child Care
450,"(46.57001950000001, -94.309779)",52,Child Care
451,"(44.1795876, -93.9570607)",140,Child Care
452,"(44.8103667, -93.1653933)",99,Child Care
453,"(43.6289229, -95.585175)",107,Child Care
454,"(45.0286461, -93.2186705)",157,Child Care
455,"(45.6156414, -94.207832)",135,Child Care
456,"(44.7779619, -94.1477235)",44,Child Care
457,"(44.9256479, -93.2052083)",48,Child Care
458,"(45.0205886, -92.991982)",46,Child Care
459,"(44.9511159, -92.8420499)",103,Child Care
460,"(45.0006569, -93.2625985)",92,Child Care
461,"(45.1103237, -95.057836)",99,Child Care
462,"(44.9685137, -93.2197704)",108,Child Care
463,"(45.5881591, -95.9290713)",62,Child Care
464,"(46.3272676, -94.4718909)",54,Child Care
465,"(45.5391755, -94.2104205)",80,Child Care
466,"(45.0815914, -93.2425267)",138,Child Care
467,"(44.9636757, -93.4123832)",158,Child Care
468,"(44.7405823, -93.2190113)",140,Child Care
469,"(45.2655104, -94.1248069)",20,Child Care
470,"(44.798053, -93.6025474)",74,Child Care
471,"(44.9048038, -93.2630971)",42,Child Care
472,"(45.0077752, -93.6577851)",80,Child Care
473,"(44.0015516, -96.3274674)",53,Child Care
474,"(46.7804643, -92.111981)",70,Child Care
475,"(46.7845188, -92.1445942)",24,Child Care
476,"(44.7912399, -93.1792005)",57,Child Care
477,"(44.10912099999999, -93.2124166)",30,Child Care
478,"(44.5655697, -92.5365846)",60,Child Care
479,"(45.3252162, -93.5628025)",172,Child Care
480,"(44.98241609999999, -93.457866)",144,Child Care
481,"(45.0310177, -93.4213908)",74,Child Care
482,"(44.9226377, -93.1965929)",106,Child Care
483,"(44.9501317, -93.0075251)",104,Child Care
484,"(45.5798572, -94.1735639)",26,Child Care
485,"(47.9443438, -97.0215486)",92,Child Care
486,"(46.811674, -92.073159)",35,Child Care
487,"(44.9893466, -93.5787654)",121,Child Care
488,"(44.7151096, -93.4244801)",49,Child Care
489,"(45.1800979, -93.3856787)",20,Child Care
490,"(44.2366591, -94.9656113)",62,Child Care
491,"(44.9086422, -93.5288197)",124,Child Care
492,"(44.9015634, -93.2057648)",108,Child Care
493,"(46.8263949, -95.8329499)",40,Child Care
494,"(47.52216869999999, -95.400409)",20,Child Care
495,"(44.9835904, -93.2930878)",124,Child Care
496,"(44.4582983, -93.161604)",186,Child Care
497,"(45.082756, -93.0499684)",122,Child Care
498,"(45.2757757, -93.4174262)",132,Child Care
499,"(44.9843362, -93.0755447)",40,Child Care
500,"(45.2239774, -93.1820267)",142,Child Care
501,"(45.00275999999999, -93.2937618)",129,Child Care
502,"(45.0038683, -93.3395687)",72,Child Care
503,"(44.9337446, -93.6547941)",85,Child Care
504,"(44.8597253, -93.0450227)",119,Child Care
505,"(44.789424, -93.1990729)",166,Child Care
506,"(44.9129444, -92.9789733)",152,Child Care
507,"(44.9548758, -93.1534572)",72,Child Care
508,"(45.0599882, -93.1304317)",82,Child Care
509,"(44.2892938, -93.2893318)",80,Child Care
510,"(45.0892024, -93.1224985)",48,Child Care
511,"(44.9621091, -92.9841818)",102,Child Care
512,"(45.2947764, -93.4110703)",20,Child Care
513,"(46.82478, -95.8266448)",80,Child Care
514,"(45.1966505, -96.0132802)",119,Child Care
515,"(43.981819, -94.6260981)",20,Child Care
516,"(44.7494086, -93.4475703)",73,Child Care
517,"(45.5772758, -94.1816824)",97,Child Care
518,"(45.0687249, -93.9102568)",20,Child Care
519,"(44.0292036, -92.7535407)",20,Child Care
520,"(44.7487606, -93.3214391)",57,Child Care
521,"(44.7187805, -93.4164763)",40,Child Care
522,"(45.2342355, -94.953308)",20,Child Care
523,"(44.38940969999999, -93.7302337)",20,Child Care
524,"(44.988887, -93.576424)",98,Child Care
525,"(45.9905746, -95.970011)",20,Child Care
